"docno";"lp";"date_bt_ini";"date_com_as";"date_com_ini";"date_com_out";"date_bt_out";"phase1";"phase2";"phase3";"phase4";"phase_total";"completed";"zustimmg";"election";"leadingcom";"compresOpp";"potLoss_emp";"potGain_emp";"potLoss_same90";"potGain_same90";"potLoss_past";"potGain_past";"potLoss_com";"potGain_com"
"14/1523";14;"1999-08-31";"1999-09-17";"1999-10-25";"1999-11-09";"1999-11-12";17;38;15;3;73;1;0;0;5;1;0;1;0;1;0;1;0;1
"14/1539";14;"1999-09-07";"1999-09-09";"1999-10-27";"1999-11-03";"1999-11-04";2;48;7;1;58;1;0;0;13;1;0;1;0;1;0;1;0;1
"14/1578";14;"1999-09-10";"1999-10-01";"1999-10-06";"2000-07-03";"2000-07-06";21;5;271;3;300;1;1;0;10;0;0;1;0;1;0;1;0;1
"14/1653";14;"1999-09-27";"1999-10-07";"1999-10-27";"1999-10-29";"1999-11-11";10;20;2;13;45;1;1;0;5;0;0;0;0;0;0;0;0;0
"14/1655";14;"1999-09-27";"1999-10-07";"1999-10-28";"1999-11-10";"1999-11-12";10;21;13;2;46;1;1;0;5;0;0;0;0;0;0;0;0;0
"14/1666";14;"1999-09-29";"1999-10-07";"1999-11-03";"1999-11-10";"1999-11-11";8;27;7;1;43;1;0;0;13;1;0;0;0;0;0;0;0;0
"14/1668";14;"1999-09-29";"1999-09-30";"1999-10-04";"1999-11-09";"1999-11-11";1;4;36;2;43;1;0;0;5;0;0;0;0;0;0;0;0;0
"14/1669";14;"1999-09-29";"1999-09-30";"1999-10-05";"1999-10-05";"1999-10-07";1;5;0;2;8;1;0;0;2;0;0;0;0;0;0;0;0;0
"14/1670";14;"1999-09-29";"1999-09-30";"1999-10-06";"1999-11-09";"1999-11-12";1;6;34;3;44;1;1;0;5;0;0;0;0;0;0;0;0;0
"14/1672";14;"1999-09-29";"1999-10-07";"1999-10-27";"1999-11-02";"1999-11-04";8;20;6;2;36;1;0;0;5;0;0;0;0;0;0;0;0;0
"14/1673";14;"1999-09-29";"1999-10-07";"1999-10-27";"1999-11-03";"1999-11-04";8;20;7;1;36;1;0;0;5;0;0;0;0;0;0;0;0;0
"14/1709";14;"1999-10-04";"1999-10-07";"1999-11-01";"1999-11-01";"1999-11-04";3;25;0;3;31;1;1;0;8;0;0;0;0;0;0;0;0;0
"14/1710";14;"1999-10-04";"1999-10-28";"1999-11-10";"1999-11-23";"1999-11-25";24;13;13;2;52;1;0;0;7;0;0;0;0;0;0;0;0;0
"14/1787";14;"1999-10-08";"1999-11-04";"2000-02-01";"2000-02-01";"2000-02-24";27;89;0;23;139;1;0;0;8;0;0;0;0;0;0;0;0;0
"14/1805";14;"1999-10-15";"1999-11-05";"1999-11-19";"1999-11-24";"1999-11-26";21;14;5;2;42;1;1;0;3;1;0;0;0;0;0;0;0;0
"14/1806";14;"1999-10-15";"1999-11-04";"1999-11-10";"1999-12-14";"1999-12-16";20;6;34;2;62;1;0;0;13;1;0;0;0;0;0;0;0;0
"14/1829";14;"1999-10-20";"1999-10-28";"1999-11-10";"1999-12-01";"1999-12-02";8;13;21;1;43;1;1;0;1;1;0;0;0;0;0;0;0;0
"14/1831";14;"1999-10-20";"1999-10-28";"1999-11-03";"1999-12-01";"1999-12-03";8;6;28;2;44;1;0;0;2;0;0;0;0;0;0;0;0;0
"14/1832";14;"1999-10-20";"1999-11-04";"1999-11-10";"1999-11-10";"1999-11-11";15;6;0;1;22;1;0;0;6;1;0;0;0;0;0;0;0;0
"14/1840";14;"1999-10-25";"1999-11-04";"2000-01-19";"2000-01-19";"2000-01-27";10;76;0;8;94;1;1;0;12;1;0;0;0;0;0;0;0;0
"14/1841";14;"1999-10-25";"1999-10-28";"1999-11-10";"1999-11-22";"1999-11-25";3;13;12;3;31;1;1;0;5;0;0;0;0;0;0;0;0;0
"14/1842";14;"1999-10-25";"1999-11-04";"2000-01-19";"2000-01-19";"2000-01-27";10;76;0;8;94;1;1;0;12;1;0;0;0;0;0;0;0;0
"14/1843";14;"1999-10-25";"1999-11-04";"2000-01-19";"2000-01-19";"2000-01-27";10;76;0;8;94;1;1;0;12;1;0;0;0;0;0;0;0;0
"14/1844";14;"1999-10-25";"1999-11-04";"2000-01-19";"2000-01-19";"2000-01-27";10;76;0;8;94;1;1;0;12;1;0;0;0;0;0;0;0;0
"14/1855";14;"1999-10-26";"1999-10-29";"1999-11-03";"1999-11-10";"1999-11-12";3;5;7;2;17;1;0;0;2;0;0;0;0;0;0;0;0;0
