"lp";"date_bt_ini";"date_bt_out";"phase_total";"zustimmg";"leadingcom";"completed";"nummer";"election";"potLoss_same90";"potGain_same90"
9;"1981-08-17";"1982-05-27";283;1;1;0;598;0;0;0
9;"1981-08-17";"1982-11-10";450;NA;1;0;599;0;0;0
9;"1981-09-07";"1982-05-27";262;0;16;0;600;0;0;0
9;"1981-06-02";"1981-10-23";143;NA;2;0;601;0;0;0
9;"1981-06-11";"1982-12-16";553;1;16;1;602;0;0;0
9;"1981-10-13";"1981-11-27";45;0;3;1;610;0;0;0
9;"1981-10-13";"1981-11-12";30;1;3;1;611;0;0;0
9;"1981-10-13";"1981-12-10";58;1;3;1;612;0;0;0
9;"1981-09-21";"1981-11-12";52;0;9;1;613;0;0;0
9;"1981-10-13";"1981-11-12";30;1;3;1;614;0;0;0
9;"1981-10-13";"1981-12-10";58;1;3;1;615;0;0;0
9;"1981-10-15";"1981-11-26";42;1;3;1;616;0;0;0
9;"1981-09-21";"1981-11-26";66;0;1;1;617;0;0;0
9;"1981-11-23";"1982-09-17";298;0;16;1;618;0;0;0
9;"1981-09-28";"1981-11-12";45;1;9;1;619;0;0;0
9;"1981-09-28";"1981-11-12";45;NA;9;0;620;0;0;0
